openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,trades,takerBaseAssetVolume,takerQuoteAssetVolume,ignored
1506967200000,4385.00000000,4414.90000000,4378.51000000,4404.93000000,21.81636200,1506970799999,95928.45126548,445,13.15824000,57892.70552105,12447.80714666
1506970800000,4403.95000000,4421.99000000,4387.01000000,4419.94000000,17.21794100,1506974399999,75942.18475978,292,8.49485600,37508.26902834,12618.67968769
1506974400000,4410.00000000,4424.99000000,4395.00000000,4397.07000000,5.27906400,1506977999999,23261.00683030,119,1.45672000,6433.66325062,12653.54612169
1506978000000,4407.03000000,4431.78000000,4397.07000000,4401.50000000,17.04863400,1506981599999,75152.89229360,238,5.18246700,22876.92108234,12686.40351188
1506981600000,4400.00000000,4429.00000000,4360.00000000,4379.83000000,21.33563700,1506985199999,93677.60808818,296,1.30369300,5732.31045400,12661.52695101
1506985200000,4379.83000000,4417.68000000,4363.33000000,4380.00000000,9.60894300,1506988799999,42177.89648448,186,3.57260500,15700.68117318,12741.57240735
1506988800000,4380.00000000,4400.00000000,4361.01000000,4382.79000000,13.44663900,1506992399999,58894.63105270,222,7.90484000,34641.49981267,12734.99053094
1506992400000,4387.07000000,4400.00000000,4361.00000000,4399.00000000,20.24323900,1506995999999,88769.16768358,467,12.85569400,56394.59458657,12689.75614819
1506996000000,4399.50000000,4467.33000000,4394.00000000,4410.00000000,22.62973000,1506999599999,99898.77544117,342,9.78771800,43260.16609782,12696.43131005
1506999600000,4410.00000000,4430.11000000,4388.06000000,4405.00000000,22.43827800,1507003199999,98878.95764465,463,11.78550700,51912.18773472,12742.85136842
1507003200000,4405.00000000,4417.00000000,4390.00000000,4400.06000000,16.27467300,1507006799999,71705.72400280,407,8.10088000,35714.10232039,12745.06394826
1507006800000,4400.06000000,4400.06000000,4265.61000000,4280.00000000,68.28554700,1507010399999,294887.53218882,733,25.59907600,110069.45603447,12719.93132733
1507010400000,4280.00000000,4330.00000000,4213.21000000,4280.00000000,185.77245000,1507013999999,793134.04357118,1504,102.07644600,435837.68658549,12194.37499666
1507014000000,4278.00000000,4300.96000000,4230.00000000,4271.00000000,60.83865700,1507017599999,260148.32658554,591,29.94039100,128214.36033101,12232.73134031
1507017600000,4280.00000000,4310.00000000,4230.00000000,4300.00000000,72.55426600,1507021199999,309081.88126575,547,44.65282400,190085.50998410,12231.97454644
1507021200000,4302.00000000,4302.00000000,4235.20000000,4261.05000000,44.30458600,1507024799999,189062.94225019,600,19.83850500,84626.31674124,12243.42936385
1507024800000,4271.97000000,4272.00000000,4189.71000000,4271.00000000,57.45024000,1507028399999,243765.92265676,743,30.53440900,129715.34999277,12287.51872236
1507028400000,4271.00000000,4298.90000000,4259.90000000,4297.99000000,32.65981200,1507031999999,139823.32910572,584,17.48788600,74906.50221376,12336.90207775
1507032000000,4290.00000000,4297.66000000,4212.11000000,4212.11000000,35.18504000,1507035599999,149887.65205918,313,9.34510400,39932.59151884,12340.58365155
1507035600000,4213.03000000,4239.18000000,4180.80000000,4208.00000000,53.87819300,1507039199999,226626.61502796,493,18.44965600,77705.40671772,12285.91277730
1507039200000,4208.00000000,4249.99000000,4185.56000000,4242.70000000,94.40927000,1507042799999,398385.72493957,519,55.58427700,234739.23122466,12212.79967533
1507042800000,4240.00000000,4268.91000000,4225.00000000,4258.57000000,37.38599200,1507046399999,158767.57046192,428,17.53368800,74545.83253750,12235.22883624
1507046400000,4258.58000000,4280.00000000,4235.00000000,4275.00000000,40.75500300,1507049999999,173772.00318767,371,10.78162600,46033.58102400,12217.34406506
1507050000000,4275.00000000,4295.99000000,4240.00000000,4285.69000000,34.84535200,1507053599999,148827.84663271,465,9.66689900,41300.48443453,12219.83428049
1507053600000,4282.85000000,4288.02000000,4278.00000000,4278.00000000,25.08528300,1507057199999,107387.67549854,458,5.32230000,22800.71327903,12208.69016813
1507057200000,4278.00000000,4287.80000000,4235.00000000,4235.01000000,38.32643500,1507060799999,163740.64887808,597,5.03911900,21527.65718994,12185.04024877
